title,location,bhk,bath,total_sqft,price_per_sqft,price,area_type
2 BHK Apartment , Maruthi Nagar,2,2,959,4171,42,Built-upArea
3 BHK Apartment , 3rd Phase JP Nagar,3,3,2280,9868,225,Built-upArea
11 Bedroom House , 8th Phase JP Nagar,11,11,1200,15000,180,PlotArea
3 BHK Apartment , CV Raman Nagar,3,3,2189,10507,230,CarpetArea
2 BHK Apartment , CV Raman Nagar,2,2,1165,5579,65,CarpetArea
11 Bedroom House , Chikkalasandra,11,11,1973,8750,350,PlotArea
5 Bedroom House , Chandra Layout,5,6,3500,21428,750,PlotArea
3 BHK Apartment , Spencer Road,3,3,2300,13043,300,Superbuilt-up
2 BHK Apartment , CV Raman Nagar,2,2,1150,5391,62,CarpetArea
5 Bedroom House , Suragajakkanahalli,5,4,3500,3429,140,Built-upArea
2 BHK Apartment , 6th Block Jayanagar,2,2,1065,6568,69.95,Built-upArea
3 BHK Apartment , Sarjapur Road,3,2,922,7049,65,Superbuilt-up
3 BHK Apartment , Thanisandra,3,3,2050,7804,160,Superbuilt-up
2 Bedroom House , Bannerghatta Road,2,2,1200,6000,72,PlotArea
12 Bedroom House , Subbannaiah Palya,12,12,1200,20916,251,PlotArea
2 Bedroom House , Sarjapur Road,2,2,1483,10114,150,PlotArea
6 Bedroom House , Mico Layout,6,7,2400,6562,420,PlotArea
9 Bedroom House , OMBR Layout,9,8,4000,5500,220,Built-upArea
2 BHK Apartment , Jalahalli East,2,2,1165,6008,70,Built-upArea
2 BHK Apartment , Billekahalli,2,2,1222,8592,105,Built-upArea
2 BHK Apartment , Horamavu,2,2,1205,7219,87,Superbuilt-up
3 BHK Apartment , Budigere Cross,3,3,1612,6856,82,Built-upArea
3 BHK Apartment , Kanaka Nagar,3,2,1429,7067,101,Superbuilt-up
3 BHK Apartment , Vijayanagar,3,3,1704,7200,125,CarpetArea
3 BHK Apartment , Kanakapura Road,3,3,1314,8371,110,Superbuilt-up
4 Bedroom House , Chandapura,4,5,4000,7500,260,PlotArea
2 BHK Apartment , Indira Nagar,2,2,1100,6363,70,Superbuilt-up
2 BHK Apartment , Hebbal,2,2,1200,6000,72,Built-upArea
3 BHK Apartment , Whitefield,3,2,1645,6686,110,Superbuilt-up
3 BHK Apartment , Sarjapur Road,3,3,1441,4718,68,Superbuilt-up
3 Bedroom House , RT Nagar,3,3,800,16250,130,PlotArea
2 BHK Apartment , Kanakapura Road,2,2,1090,8073,88,CarpetArea
6 Bedroom House , T Dasarahalli,6,5,1200,15416,185,PlotArea
1 Bedroom House , Marathahalli,1,1,1800,8333,160,PlotArea
3 BHK Apartment , Hebbal,3,3,1750,5142,90,Superbuilt-up
2 BHK Apartment , Kanakapura Road,2,2,1340,5223,70,Superbuilt-up
2 BHK Apartment ," Maruthi Nagar, Malleshpalya",2,2,1233,7299,90,Built-upArea
3 BHK Apartment , Doddanagamangala,3,2,1252,5990,70,Built-upArea
3 BHK Apartment , Kengeri,3,2,1325,5283,65,Superbuilt-up
3 BHK Apartment , Yelahanka,3,3,1705,5278,90,Built-upArea
3 BHK Apartment , Nagarbhavi,3,2,1300,7615,99,CarpetArea
