Title,location,bhk,bath,total_sqft,price_per_sqft,price,area_type
2 BHK Apartment , Maruthi Nagar,2,2,959,4171,42,Built-upArea
2 BHK Apartment , CV Raman Nagar,2,2,1165,5579,65,CarpetArea
2 BHK Apartment , CV Raman Nagar,2,2,1150,5391,62,CarpetArea
2 BHK Apartment , 6th Block Jayanagar,2,2,1065,6568,69.95,Built-upArea
3 BHK Apartment , Sarjapur Road,3,2,922,7049,65,Superbuilt-up
3 BHK Apartment , Thanisandra,3,3,2050,7804,160,Superbuilt-up
2 Bedroom House , Bannerghatta Road,2,2,1200,6000,72,PlotArea
2 Bedroom House , Sarjapur Road,2,2,1483,10114,150,PlotArea
2 BHK Apartment , Jalahalli East,2,2,1165,6008,70,Built-upArea
2 BHK Apartment , Billekahalli,2,2,1222,8592,105,Built-upArea
2 BHK Apartment , Horamavu,2,2,1205,7219,87,Superbuilt-up
3 BHK Apartment , Budigere Cross,3,3,1612,6856,82,Built-upArea
3 BHK Apartment , Kanaka Nagar,3,2,1429,7067,101,Superbuilt-up
3 BHK Apartment , Vijayanagar,3,3,1704,7200,125,CarpetArea
3 BHK Apartment , Kanakapura Road,3,3,1314,8371,110,Superbuilt-up
2 BHK Apartment , Indira Nagar,2,2,1100,6363,70,Superbuilt-up
2 BHK Apartment , Hebbal,2,2,1200,6000,72,Built-upArea
3 BHK Apartment , Whitefield,3,2,1645,6686,110,Superbuilt-up
3 BHK Apartment , Sarjapur Road,3,3,1441,4718,68,Superbuilt-up
2 BHK Apartment , Kanakapura Road,2,2,1090,8073,88,CarpetArea
1 Bedroom House , Marathahalli,1,1,1800,8333,160,PlotArea
3 BHK Apartment , Hebbal,3,3,1750,5142,90,Superbuilt-up
2 BHK Apartment , Kanakapura Road,2,2,1340,5223,70,Superbuilt-up
2 BHK Apartment ," Maruthi Nagar, Malleshpalya",2,2,1233,7299,90,Built-upArea
3 BHK Apartment , Doddanagamangala,3,2,1252,5990,70,Built-upArea
3 BHK Apartment , Kengeri,3,2,1325,5283,65,Superbuilt-up
3 BHK Apartment , Yelahanka,3,3,1705,5278,90,Built-upArea
3 BHK Apartment , Nagarbhavi,3,2,1300,7615,99,CarpetArea
2 BHK Apartment , Mysore Road,2,2,1074,7076,76,Superbuilt-up
2 BHK Apartment , Electronic City,2,2,950,6526,62,Superbuilt-up
3 BHK Apartment , Tumkur Road,3,2,1373,11167,110,Superbuilt-up
3 Bedroom House , Mathikere,3,2,1530,9281,142,PlotArea
3 BHK Apartment , Jalahalli,3,3,1650,8484,13,CarpetArea
2 BHK Apartment , Bommanahalli,2,2,940,4574,43,Built-upArea
3 BHK Apartment , Electronic City,3,2,1500,5866,88,Superbuilt-up
3 BHK Apartment , Hennur Road,3,3,1590,7547,120,Superbuilt-up
2 BHK Apartment , Kudlu Gate,2,2,1368,5482,75,CarpetArea
2 BHK Apartment , Atmananda Colony,2,2,995,4824,48,CarpetArea
2 BHK Apartment , Cox Town,2,2,1100,6781,74.6,Built-upArea
3 BHK Apartment , 9th Phase JP Nagar,3,3,1600,7500,120,CarpetArea
2 BHK Apartment , Kengeri Satellite Town,2,2,1119,5272,59,Superbuilt-up
2 BHK Apartment , Rajapura,2,2,920,5217,48,Superbuilt-up
3 BHK Apartment , Jakkur,3,3,1725,5420,95,Built-upArea
2 BHK Apartment , Thanisandra,2,2,1263,6730,85,Superbuilt-up
2 BHK Apartment , Mallasandra,2,1,746,5093,38,Built-upArea
2 BHK Apartment , Uttarahalli,2,2,959,6256,55,Superbuilt-up
2 BHK Apartment , Jayanagar,2,2,1060,9433,100,CarpetArea
3 Bedroom House , MS Pallya,3,3,1200,10000,120,PlotArea
3 BHK Apartment , Sri Balaji Krupa Layout,3,2,1241,5640,70,Superbuilt-up
2 BHK Independent Builder Floor , Jakkur,2,2,1375,5019,69,CarpetArea
2 BHK Apartment , Tata Nagar,2,2,1307,6044,79,Built-upArea
2 BHK Independent Builder Floor , Ramamurthy Nagar,2,2,1250,3840,48,CarpetArea
2 BHK Apartment , Kalkere,2,2,1122,5525,62,Superbuilt-up
3 BHK Apartment , JP Nagar,3,2,1450,4690,68,Superbuilt-up
2 BHK Apartment , Rayasandra,2,2,1287,4817,62,CarpetArea
3 BHK Apartment , Kaikondrahalli,3,3,2075,8000,166,Superbuilt-up
2 BHK Apartment , Kanakapura Road,2,2,907,8820,80,Built-upArea
2 BHK Apartment , Jayamahal,2,2,1238,7269,90,CarpetArea
3 BHK Apartment , Whitefield,3,3,1700,4648,79,Superbuilt-up
3 BHK Apartment , Sarjapur Road,3,3,1239,5972,74,Superbuilt-up
2 BHK Apartment , Tumkur Road,2,2,814,5159,42,Superbuilt-up
2 BHK Apartment , Nandi Durga Road,2,2,1340,7462,100,Built-upArea
3 BHK Apartment , Devarachikkanahalli,3,3,1575,6000,95,Built-upArea
2 BHK Apartment , Yelahanka New Town,2,2,1261,6582,83,CarpetArea
