,Location,Price_per_sqft,Total_sqft,Area,BHK,Price
0,2 BHK Apartment in Maruthi Nagar,"₹ 4,171/sq.ft.",959 sq.ft. (89 sq.m.) Built-up Area,(89 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 42 L₹ 4,171/sq.ft."
1,3 BHK Apartment in 3rd Phase JP Nagar,"₹ 9,868/sq.ft.","2,280 sq.ft. (212 sq.m.) Built-up Area",(212 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 2.25 Cr₹ 9,868/sq.ft."
2,11 Bedroom House in 8th Phase JP Nagar,"₹ 15,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,11 BHK11 Baths,"₹ 1.8 Cr₹ 15,000/sq.ft."
3,3 BHK Apartment in CV Raman Nagar,"₹ 10,507/sq.ft.","2,189 sq.ft. (203 sq.m.) Carpet Area",(203 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.3 Cr₹ 10,507/sq.ft."
4,2 BHK Apartment in CV Raman Nagar,"₹ 5,579/sq.ft.","1,165 sq.ft. (108 sq.m.) Carpet Area",(108 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 5,579/sq.ft."
5,11 Bedroom House in Chikkalasandra,"₹ 8,750/sq.ft.","1,973 sq.ft. (183 sq.m.) Plot Area",(183 sq.m.) Plot Area,11 BHK11 Baths,"₹ 3.5 Cr₹ 8,750/sq.ft."
6,5 Bedroom House in Chandra Layout,"₹ 21,428/sq.ft.","3,500 sq.ft. (325 sq.m.) Plot Area",(325 sq.m.) Plot Area,5 BHK6 Baths,"₹ 7.5 Cr₹ 21,428/sq.ft."
7,3 BHK Apartment in Spencer Road,"₹ 13,043/sq.ft.","2,300 sq.ft. (214 sq.m.) Super built-up Area",(214 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 3 Cr₹ 13,043/sq.ft."
8,2 BHK Apartment in CV Raman Nagar,"₹ 5,391/sq.ft.","1,150 sq.ft. (107 sq.m.) Carpet Area",(107 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 62 L₹ 5,391/sq.ft."
9,5 Bedroom House in Suragajakkanahalli,"₹ 3,429/sq.ft.","3,500 sq.ft. (325 sq.m.) Built-up Area",(325 sq.m.) Built-up Area,5 BHK4 Baths,"₹ 1.4 Cr₹ 3,429/sq.ft."
10,2 BHK Apartment in 6th Block Jayanagar,"₹ 6,568/sq.ft.","1,065 sq.ft. (99 sq.m.) Built-up Area",(99 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 69.95 L₹ 6,568/sq.ft."
11,3 BHK Apartment in Sarjapur Road,"₹ 7,049/sq.ft.",922 sq.ft. (86 sq.m.) Super built-up Area,(86 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 65 L₹ 7,049/sq.ft."
12,3 BHK Apartment in Thanisandra,"₹ 7,804/sq.ft.","2,050 sq.ft. (190 sq.m.) Super built-up Area",(190 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.6 Cr₹ 7,804/sq.ft."
13,2 Bedroom House in Bannerghatta Road,"₹ 6,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,2 BHK2 Baths,"₹ 72 L₹ 6,000/sq.ft."
